Row No.,Housing Delivery Agency,Project Name:,Phase/ Bldg/Address/B+L,Total Units,100% Affordable Units,PTS BLDG Description+Additional Land Use Description,Permit Type,Building Permit No.,DBI Arrival/ Intake Date,Target Permit Issuance Date,Project Permit Status,Timing/ Priority Context,Planning,DBI,SFFD,Public Works,SFPUC,MOD,Housing Delivery Agency 1
99,MOHCD,TREASURE ISLAND (MOHCD),1296 Shotwell,94,94,"SUSPENDED DECORATIVE WOOD SLAT CEILING TO BE CLASS A FINISH, TESTED IN ACCORDANCE TO ASTME84 AND FLAME SPREAD OF LESS THAN 25, COMPLYING WITH CHAPTER 8 CBC 2013 (AND NOT CHAPTER 23)",201907155888:  REVISION TO PERMIT APPLICATION# 201608195545 final 9/19/19,201608195545,-,-,ISSUED - TCO issued 11/13,UNDER CONSTRUCTION  Scheduled completion: 1/2/2020,-,-,-,"Active/Approved Street Improvement permit 17IE-0950, 17SW-0036, 18V-0007 (Remove and reconstruct sidewalk and parking strip). Approved on 11.06.2018, activated on 10/07.2019. Approved site permit. Street Improvement, Vault (new UCD), Special Sidewalk, and BUF (tree planting) permits required.",Perm power completed.  PG&E:  Gas meter to be installed by 10/4/19.,-,-
100,MOHCD,TREASURE ISLAND (MOHCD),1950 Mission                                3554 / 005,93,93,"ERECT TWO TYPE 1A BUILDINGS, ONE 9 STORY MIXED USE 93 UNIT RESIDENTIAL BUILDING, AND A 6 STORY MIXED USE 64 UNIT RESIDENTIAL BUILDING WITH DAY CARE FACILITIES, BUILDING FUNCTION, OFFICES, AND COMMERCIAL TENANT SPACES ON THE GROUND FLOOR",ADD 5 & 6,201609218371,-,-,Exterior Building Maintenance and ERRCs remaining,UNDER CONSTRUCTION,-,-,-,"Street Improvement is in Applicant Status. 18IE-0343, 18MSE-0456, 18MSE-0776, 19E-00427, 429, 441, 719, 19S-00077. Comments sent on 12.11.2018. Revisions required. BUF permit also required. AMEP: No change, awaiting resubmittal for Street Improvement Permit.  Add curb ramp, new trees, repaint curb to white.",-,-,Topping off achieved 1/1/20.
101,MOHCD,HUNTERS VIEW HOPE SF -PHASE III,490 S. Van Ness,81,81,"7 STORIES, 81 UNITS WITH PARTIAL BASEMENT & NO PARKING. A PUBLICLY FOUNDED 7 STORY 100% AFFORDABLE HOUSING RESIDENTIAL BLDG WITH GROUND FLOOR PUBLIC COMMUNITY FLEX SPACE. 1 PARTIAL BASEMENT LEVEL FOR STORAGE & BUILDING SERVICE","ADD 5 & 8 (Fire Alarm, Ext. Building Maint)",201710110918,2/17/18,2018-11-17T00:00:00.000,"ADD 1, 2, 3, 4, 6, 7 and 9 ISSUED.  Addenda 5 & 8 (Fire Alarm and EBM) SFFD in review assigned 10/24 Weiss-Ishai, start delayed to 11/16. HOLD issued 11/16 pending approval of OT by Sagiv Weiss Ishai SFFD - UPDATE - Assigned RL 1/9/20 - NEED FURTHER UPDATE",UNDER CONSTRUCTION,-,EBM received 08/16/19. Start 09/04/19 by bldg.,"Fire Alarm, Elev and 2-way Comm now proceeding after HOLD for approval of OT for Sagiv Weiss-Ishai.","15IE-0393, 15MSE-0223. At applicant status awaiting response and resubmittal. Comments provided on 05.01.2015. MSE also in applicant statusv(Soldier beams for shoring encroaching onto the public right-of-way along the South Van Ness frontage per Temporary Shoring Plan prepared by Kevin O'Connor, Inc dated 5/4/18.)",-,-,SFFD Fire alarm comments responded to and revisions issued to SFFD 12/13.  EBM (building maintenance) on HOLD since 9/4/19 Howard Zee - no upate
102,MOHCD,HUNTERS VIEW HOPE SF -PHASE III,2060 Folsom                      3571 / 031,127,127,"ERECT 9 STORIES, NO BASEMENT, TYPE 1-B OF 127 DWELLING UNITS RESIDENTIAL, RETAIL, OFFICE & CHILDCARE, MIX USE (R-2, B, E, A-3).","ADD 3 Fire Protection (Sprinkler, Alarm, Fire pump)",201608054294,12/12/17,-,"ADD 3 Fire Protection (Sprinkler, Alarm, Fire pump) in hold 2/13/20 SFFD comments issued to arch and contractor",UNDER CONSTRUCTION,-,-,"Fire Alarm has not received yet, Sprinkler system is still reviewing,","18IE-0127, 18V-0009, 19MSE-00739. Comments sent on 10.18.2018. Awaiting PGE letter/authorization for building release. Plans under review for final approval.",-,Addenda 2 final approval required - holding up DBI review,Still awaiting MOD approval to complete issuance of Add2 - Arch MEP
103,MOHCD,HUNTERS VIEW HOPE SF -PHASE III,1990 Folsom Street                3552 / 012,143,143,"TO ERECT 8 STORIES, TYPE 1A,1B,VB 143 RESIDENTIAL UNIT AND CHILDCARE CENTER. (R-2, I-4)",ADD 9 Steel stairs,201707051030,10/9/18,-,"ADD 1 - Found, Super and ADD 2 - Arch MEP finished.  ADD 9 - Steel stairs in hold 2/12 due to incomplete submission",UNDER CONSTRUCTION,-,-,Arch/mep approved on 5/20 Fire protection and Fire Alarm have not received yet,"18IE-0475, 18IV-0010, 19E-00968. Release given. Awaiting revisions to plans for final approval of Street Improvement and Vault permit. Also waiting for BUF tree application and Sidewalk legislation for bulb out.",-,Addenda 2 final approval required - holding up DBI review,CPB received 12/17 for final
104,MOHCD,1296 Shotwell,88 Broadway (SF PORT),125,125,"ERECT A 6-STORY building; TYPE 1A/3A, for 125 dwelling units & mixed use",ADD 5 - Arch MEP,201711154095,1/28/19,2019-10-28T00:00:00.000,"Addendum 1,2, 3, 4 and 6 issued.  ADD 5 -ARCH MEP - Hold to complete re-check with Mech and final sign-off by SFFD for final by 2/20/20",UNDER CONSTRUCTION,-,PORT Site requires coordination of Permit Card tracking with DBI,"Arch , Civil  on hold by Harshman on 2/2/18","18IE-0176, 18MSE-0137, 18SW-0011. Awaiting revisions to plans, as well as SFMTA review. Comments sent on 03.25.2019.",PGE Perm design approval received week of 7/22,Final comments required - Stair landing design / Code determination critical,Plan-check responses incorporated in resubmittal of  Addendum No. 04 (AMEP) scheduled for submission 9/20/19.
105,MOHCD,1950 Mission,735 Davis,53,53,"ERECT A TYPE 1 CONST, 6 STORY 53 RESIDENTIAL DWELLING UNIT BUILDING","ADD 4 ARCH MEP, ADD 6 - Fire Sprinkler, ADD 10 Steel Stairs",201711154101,1/28/19,2019-10-28T00:00:00.000,"Addendum 1,2, 3, and 5 issued.  Addendum 4 (Arch MEP) on critical path.  SFFD, additional OT required - on hold as of 2/2/19.  ADD 6 Fire Sprinkler re-assigned to HQ start Andrawes Kamal 1/28/20",UNDER CONSTRUCTION,-,-,"Arch , Civil  on hold by Harshman on 2/22/19","18IE-0179, 18MSE-0138, 18SW-0012. Applicant to submit letter of withdrawal. Comment sent on 03.19.2018. Project site is under SF Port Jurisdiction.",PGE Perm design approved 7/29.  Temp power sched. For energizing 8/26-8/30,Final comments required - Stair landing design / Code determination critical,"Declaration of Restrictions (DOR) separate Addendum (LEGAL) for 35% instead of 25% window openings finalized for BLDG to ""finish"" for issuance.   Arch. Civil, MEP on critical path.  MOD approval received, DBI needs to re-check and approve"
106,MOHCD,490 S. Van Ness,681 Florida                                    4022/021,130,130,"Proposed development of 130-units of affordable housing with 30% set aside for homeless families and approximately 9,140sf of arts related ground floor PDR space. Project includes (44) studios, (31) one-bedrooms, (38) two-bedrooms, and (17) three-bedrooms. Offices for management, services staff and a community room will be located at ground floor.",ADD 2 - Arch MEP,201802211851,1/16/2019,2019-10-16T00:00:00.000,ADD 2 - Arch MEP ready 1/14/20.,START CONSTRUCTION 04/2020,-,-,Sprinkler and Fire Alarm Have not received yet,"18IE-0763, 18V-0017. Waiting for revisions to plans. Comments sent on 10.29.2018.

AMEP Addenda 2: BSM in hold 06/06/19. See Housing Delivery Agency notes  Verify incoming service (elec) for BLG.  Confirm trash handling",PGE approved low-side metering in conversation week of 8/12.  Application submitted and Deemed Complete is expected 1/15,-,Arch and Sponsor re-submitteto DPW-BSM for Street Improvement Permit without trash ramp 12/2. Re-submittal will also address the BUF comments.
107,MOHCD,2060 Folsom,3001 24th St. (Casa de la Mission)                                        (6522/064),45,45,"ERECT (N) 5-STORY, 45 DWELLING UNITS, COMMERCIAL, COURTYARD, & TERRACE BUILDING",ADD 3 - Arch MEP & ADD 4 MEP,201806040916,1/15/19,2019-10-15T00:00:00.000,"Addenda 3 (Arch Civil Land), in hold 1/30/20 CP-ZOC, PPC and CPB.  Addenda 4 (MEP) finished 1/31/20",PRE CONSTRUCTION,-,-,Site Permit Approved & Arch/MEP on hold on 8/12/19 - Fire sprinkler and Fire Alarm have not received.,"19IE-00017, 19V-00002. Awaiting revisions. Comments sent 03.07.2019.",PUC approved PGE Service for Temp and Perm elec,-,09/18/19:Addenda 3 waiting response to comments from Sponsor to BLDG. Addendum 4 awaiting response to comments to SFFD. Sponsor is scheduling re-check week of 09/16/19. Sprinklers/Fire Alarm/Elevator TWC/ERRCS/EBM/Low Voltage / Steel Stairs all pending.
108,MOHCD,1990 Folsom Street,500 Turk                                                0741 / 022,108,108,"8 STORIES, NO BASEMENT, TYPE I-A,108 UNITS RESIDENTIAL WITH COMMERICAL/RETAIL MIXED USED (R-2,M)",ADD 1 finish 1/31.,201712156628,3/19/19,-,,UNDER CONSTRUCTION,site approved 10/29/18,-,-,18IE-0991. Awaiting revisions. Comments sent on 12.03.2018.,-,-,"ADD2 - Arch, MEP 11/5 HOLD - Sponsor to respond to comment re: DPW / BSM and BUF issued 11/1 and MECH-E, DCP comments."
109,MOHCD,88 Broadway (SF PORT),500 Turk                                              0741 / 022,,,"8 STORIES, NO BASEMENT, TYPE I-A,108 UNITS RESIDENTIAL WITH COMMERICAL/RETAIL MIXED USED (R-2,M)",ADD 2 - Architectural MEP,201712156628,1/15/19,2019-10-15T00:00:00.000,"ADD 2 (Arch MEP) on HOLD steps 2, 3, 4 (MECH, ELEC, SFFD) for response and 2/7/20 incomplete, HOLD DPW-BSM for sign off of Vault Encroachment etc 12/28/18 Site Permit approved.  Step 7 MOD has no data",UNDER CONSTRUCTION,site approved 10/29/18,DBI issued comments MECH and ELEC - awaiting response,SFFD Comments issued 8/2,18IE-0991. Awaiting revisions. Comments sent on 12.03.2018.,9/20/19:  Low-side metering approved. Elec Service application for perm pwr submitted 2/6 w/low side metering and rejected.  PGE approved low-side metering in conversation week of 8/12.  Project team proceeding as directed,ID on PTS Step 7 - No data,"Sponsor to respond to comments issued by SFFD, DBI Mech and Elec"
110,MOHCD,735 Davis,1064-8 Mission,254,254,"6 STORIES, NO BASEMENT, TYPE III-A OVER TYPE 1, 254 RESIDENTIAL UNITS & MIXED USE BUILDING. (R-2,B) - Factory built housing",ADD 2 - Arch Landscape Irrig. ADD 3 - MEP,201810233860,12/23/18,-,"Demo Permit in HOLD BLDG (Willy Y).  Addendum 1 (Foundation and Superstructure) 1/10/20 re-check by R Tam. Hold BLDG with comments issued 11/22.  HOLD DPW-BSM required for sign-off.  Addendum 2 (Arch, Landscape Irrigation -SITE BUILT) Hold comments from BLDG  MECH and SFFD issued 10/16 and 11/1 & 11/22, respectively.  Addendum 3 (MEP) comments issued by BLDG, MECH, ELEC 10/16, 11/1, and SFFD 11/22 - waiting for Arch response.",PRE CONSTRUCTION,waiting for arch addenda,Courtesy review of FBH drawings complete for MECH,Courtesy review of FBH,"18IE-1046. Awaiting revisions. Comments sent on 05.15.2019.

Easement for Access at Jessie required (sidewalk leg. Not feasible given schedule with Fed) Coordination of street closure and trucking large loads required",Elec Service application for perm pwr submitted w/low side metering and rejected.  PGE approved low-side metering in conversation week of 8/12.  Project team proceeding as directed,FBH Courtesy Review requires final / closure,"Demo permit on critical path, requires approval.  FBH state permit approvals pending and require out of sequence review by SFFD before final.  DPW resolution of sidewalk connection easement proposed to address access comment by DPW-Access (sidewalk leg. Is not feasible). Coordination of street closure and logistics with MTA.  Multiple meetings and proposals require final approval."
111,MOHCD,681 Florida,4840 Mission                                      136/136,136,136,"4 STORY 137 TYPE 5A, RESIDENTIAL /APARTMENT/CLINIC",Site,201903195605,3/19/19,2019-08-19T00:00:00.000,SFPUC requested additional info 6/24.  No Addenda submitted,PRE CONSTRUCTION Start 03/01/2021,site approved 6/20/19,BLDG Finish 11/25/19,SFFD Finish 11/27/19,No permit application submited with BSM yet. Only Storage Container and Parking permits have been applied for.,-,-,Several design iterations due to differing funding requirements. The team is currently moving forward with site permit based on original entitlement. Team plans  to respond to  first set of site permit plan check comments by 10/4/19.
112,MOHCD,3001 24th St (Casa de la Mission),Francis Scott Key Educator Housing                                    1351 42nd Avenue - 1797/007,130,130,"4-stories on 42nd Avenue and five-stories on 43rd Avenue, Type V and IIIA over Type I, 20 Studio units, 46 one-bedroom units, 59 two-bedroom units and 9 three or more bedroom units.  7,310 square foot publicly accessible open space, and private and common open space areas for the residents, 48 vehicular parking spaces, two car-share spaces, 111 class 1 bicycle parking spaces, and nine Class II bicycle parking spaces. EPR SUBMISSION PILOT",Site Permit,201912099009,2019-12-09T00:00:00.000,2020-05-09T00:00:00.000,Site Permit - 1/30/20 re-assigned Pilot EPR.  1/30/20 Carey McElroy Bldg assigned.,PRE CONSTRUCTION,"Under review 3/13/19 ENV & PRJ, 5/1 GPA",Completed pre-application,-,No BSM permits applied for yet. Nothing on file.,-,-,Filing Site Permit and Demo permit applications week of 12/2
113,MOHCD,500 Turk,Balboa Upper Yard                                     2340 San Jose Ave / 260 Geneva Ave 6973/039,130,130,"130 residential units, amenity and community spaces (BART Plaza) and offices adjacent to Balboa BART.  ALSO, interim use permits will be required for temporary RV parking","ADD 1 Foundation, Super, Soils and Non-structural light gauge metal ext. walls",201807033677,7/3/18,-,"ADD 1 Foundation, Super, Soils and Non-structural light gauge metal ext. walls.  BLDG start 1/30/20",PRE CONSTRUCTION Start 12/2021,site approved 11/9/18,-,-,"Site permit signed off need Street Improvement, trees, and sidewalk legislation.  Future addenda on hold.

No BSM permits applied for yet. Nothing on file.",-,-,Interim use - HSH RV parking. Addenda 1&2 planned for Q4 2019 submittal.
114,MOHCD,,2340 San Jose Ave,-,-,"PROVIDE TOWABLE MODULAR OFFICE TRAILER WITH PREFAB RAMP, PORTABLE TOILETS AND HANDWASHING STATION, TOWABLE FUEL GENERATOR, TOWABLE LIGHT TOWERS, WATER TANK FOR POTABLE WATER, TEMP FENCE AROUND FUEL GENERATOR, SIGNAGE, ELEC FOR EXTERIOR WORK MAHER NOT REQ",-,201911126986,-,-,-,-,-,-,-,-,-,-,
115,MOHCD,1064-8 Mission,266 4th Street  at Folsom 3733/093,70,70,"MAYOR DIR 17-02: TO ERECT 8 STORIES, NO BASEMENT, TYPE I-A & I-B, 70 UNITS MULTI FAMILY RESIDENTIAL WITH MIX USED BUILDING. (R-2, A-3, M) ** MAHER: N/A **",Site,201907236649,2019-07-23T00:00:00.000,2019-12-23T00:00:00.000,Site Permit Reviews Finished - CPB 1/3/20 posted,PRE CONSTRUCTION,NIA letter due 8/23.  Application deemed incomplere.,-,-,"Coordination of UDCs and sidewalk improvement permit with MTA for substation is required.

Minor Sidewalk Encroachment permit approved in 2013 (13MSE-0108). No other permits or application on file with BSM.","Elec Service application for perm pwr submitted w/low side metering and rejected.  PGE currently not allowing low-side metering which will require re-design, loss of commercial space, return to Planning for approval, cost for high voltage design and switchgear",-,-
116,MOHCD,4840 Mission,730 Stanyan,-,-,Interim use prior to new construction of multifamily housing,Demolition / street improvement,201905211318,2019-05-21T00:00:00.000,-,ISSUED,INTERIM USE,-,-,-,"Demo permit signed off by SFPW.

Only permit with BSM is Sidewalk Repair Permit 16SWR-0634 which was completed/closed on 09.10.2016. No other permits or applications on file.",-,-,-
117,MOHCD,Francis Scott Key Educator Housing,600 7th Street,-,-,"Interim use prior to new construction of multifamily housing.  Parking meter removal, curb cuts for temporary (interim) use.",Street Improvement,-,-,-,-,INTERIM USE,-,-,-,No BSM permits applied for yet. Nothing on file.,-,-,-
118,MOHCD,Balboa Upper Yard,967 Mission,-,-,"Interim use prior to new construction of multifamily housing.  Parking meter removal, curb cuts for temporary (interim) use.",Street Improvement,-,-,-,-,INTERIM USE,-,-,-,No BSM permits applied for yet. Nothing on file.,-,-,-
119,MOHCD,2340 San Jose Ave,180 Jones Street,-,-,Interim use sobering center,Building - Asphalt overlay,201908269880,2019-08-26T00:00:00.000,-,ISSUED and FINAL,INTERIM USE,-,-,-,No BSM permits applied for yet. Nothing on file.,-,-,-
120,MOHCD,266 4th Street,180 Jones Street,72,72,72 studios permanent supportive housing - EPR SUBMISSION PILOT,Site,EPR Submission pending,2020-02-18T00:00:00.000,-,,PRE CONSTRUCTION,-,-,,,,,
121,MOHCD,730 Stanyan,921 Howard,200,200,"ERECT 17-STORY, TYPE 1, 203 DWELLING UNITS, RESIDENTIAL/COMMERCIAL BUILDING. NEW BLDG WILL BE ON BLOCK 3732, LOTS 004, 099, 100, 145A, & 146. 100% AFFORDABLE HOUSING DEVELOPMENT BY TENDERLOIN NEIGHBORHOOD DEVELOPMENT CORP(TNDC). FEE DEFER TILL 1ST ADDENDUM ISSUE. COMPLY MAHER ORD.",Site,201912230270,2019-12-23T00:00:00.000,2020-05-23T00:00:00.000,,PRE CONSTRUCTION,-,-,,,,,
122,MOHCD,600 7th Street,1515 S. Van Ness Avenue,-,-,-,-,-,-,-,-,INTERIM USE,-,-,-,Expired boring permit 15BW-0019. Only other permits are 15TOC-1724 and 08EXC-4704 which are a arking permit and excavation permit.,-,-,-
123,MOHCD,967 Mission,"OCII MBS Block 9

410 China Basin St

8719/003",141,140,"100% AFFORDABLE HOUSING, TO ERECT 4 STORIES, NO BASEMENT, TYPE V, 141 RESIDENTIAL UNITS WITH OFFICE & ASSEMBLY BUILDING. (R-2,B,A-3)","Addenda #1:
Foundation and Structural",201901281440,9/10/19,-,4 open addenda,Modular Constructing - Construction starts  June 2020,n/a,"DBI prepared to sign, holding until DPH confirms 22A compliance   (Maher Report) DPH received  addenda #1 on 1/31/20, and receipt of approved HCD factory permit expected 02/21/2020.",-,BSM ready to sign off following BLDG approval.,-,-,-
124,MOHCD,199 Turk Street (fmly 180 Jones Street),"OCII MBS Block 9

410 China Basin St

8719/003",-,-,"100% AFFORDABLE HOUSING, TO ERECT 4 STORIES, NO BASEMENT, TYPE V, 141 RESIDENTIAL UNITS WITH OFFICE & ASSEMBLY BUILDING. (R-2,B,A-3)","Addenda #2:
Architectural & MEP",201901281440,9/10/19,-,4 open addenda,Modular Constructing - Construction starts  June 2020,n/a,"Submitted on 9/10/19.
MECH: approved on 12/13/19
MECH-E: held recheck meeting and design team provided follow up responses on 12/11. Mech-E to review. 
BLDG: Ready to sign off, once MOD review is complete.","SFFD provided comments on 10/29/19.  

Recheck held on 12/17/19. SFFD ready to approve, pending BLDG approval.","Assigned to DPW on 11/14/19

BUF issue cleared. DPW ready to approve pending BLDG",signed off on 12/11/19,"Intake meeting held 11/1/19. 
MOD issued comments on 11/20/19. Design team provided response on 12/13/19. 

Held recheck mtg on 1/24/20. Design team preparing responses by 2/21/2020.",-
125,MOHCD,,"OCII MBS Block 9

410 China Basin St

8719/003",-,-,"100% AFFORDABLE HOUSING, TO ERECT 4 STORIES, NO BASEMENT, TYPE V, 141 RESIDENTIAL UNITS WITH OFFICE & ASSEMBLY BUILDING. (R-2,B,A-3)",Addenda #4: Fire Alarm,201901281440,2019-12-13T00:00:00.000,-,4 open addenda,Modular Constructing - Construction starts  June 2020,n/a,-,"Submitted on 12/13/19
Fire to respond.",-,-,-,-
126,MOHCD,921 Howard,"OCII MBS Block 9

410 China Basin St

8719/003",-,-,"100% AFFORDABLE HOUSING, TO ERECT 4 STORIES, NO BASEMENT, TYPE V, 141 RESIDENTIAL UNITS WITH OFFICE & ASSEMBLY BUILDING. (R-2,B,A-3)","Addenda
Landscape/Civil",201901281440,2020-01-15T00:00:00.000,-,4 open addenda,Modular Constructing - Construction starts  June 2020,-,"Review started 1/15/2020
DBI to provide comments.",-,-,-,Submitted to MOD on 1/24/2020. MOD to review.,-
127,MOHCD,1515 S. Van Ness Ave.,"OCII MBS Block 9

 410 China Basin St

8719/003",-,-,"100% AFFORDABLE HOUSING, TO ERECT 4 STORIES, NO BASEMENT, TYPE V, 141 RESIDENTIAL UNITS WITH OFFICE & ASSEMBLY BUILDING. (R-2,B,A-3)",Other Permits,201901281440,-,-,4 open addenda,Modular Constructing - Construction starts  June 2020,n/a,Courtesy review approval letter received from DBI 10/15/19.,Courtesy review approval letter in process 11/14/19.(SFFD please respond),"SIP was submitted on 5/17/2019.
DPW provided comments on 6/19/19.

SIP on hold - pending parking meter removal on China Basin discussions with Port. 
OCII/Developer submitted license application for passenger loading (meter removal and white paint) on 2/5/2020.",-,Letter dated 8/5/19 confirms conclusion of courtesy review of factory drawing set,-
128,OCII,Mission Bay,"OCII MBS Block 6W

691 China Basin

8711/020",152,151,"PRIORITY PROCESSING PROJECT. ERECT A NEW R-2,E,B 7 STORIES WITH 152 DWELLING UNIT, NO BASEMENT. RESIDENTIAL,CHILD DEVELOPEMENT CENTER AND ART ACTIVITY SPACE. TYPE 1A,III,VA","Addenda #5: 
Fire Protection (Design Build)",201804196818,2019-10-21T00:00:00.000,-,2open addenda,In Construction,n/a,-,"SFFD began review on 10/23/19. 

SFFD comments issed on 1/30/2020, Developer to respond by 2/28/2020.",-,-,-,-
129,OCII,Mission Bay,"OCII MBS Block 6W

691 China Basin

8711/020",-,-,"PRIORITY PROCESSING PROJECT. ERECT A NEW R-2,E,B 7 STORIES WITH 152 DWELLING UNIT, NO BASEMENT. RESIDENTIAL,CHILD DEVELOPEMENT CENTER AND ART ACTIVITY SPACE. TYPE 1A,III,VA","Addenda #10: 
Building Maintenance Equipment",201804196818,2019-10-21T00:00:00.000,-,2open addenda,In Construction,n/a,Permit routed to BLDG on 2/10/2020; Developer to await comments.,-,-,-,-,-
130,OCII,Mission Bay,"Hines TB Block 4

(Tower)
Mixed Income Rental)",683,336,ERECT A 16 STORIES 192 RESIDENTIAL TYPE 1A CONSTRUCTION APARTMENT BUILDING,Site Permit,201912200133,2019-12-20T00:00:00.000,2020-05-20T00:00:00.000,Submitted,"Redevelopment Plan Amendment, DDA and Schematic Designs in negotiation with OCII (Spring 2020 approvals)

Start of site permit review to be dicussed.",-,-,-,-,-,-,-
131,OCII,Mission Bay,"Hines TB Block 4

(Podium)
100% Affordable Rental",-,-,ERECT A 16 STORIES 192 RESIDENTIAL TYPE 1A CONSTRUCTION APARTMENT BUILDING,Site Permit,201912200111,2019-12-20T00:00:00.000,2020-05-20T00:00:00.000,Submitted,"Redevelopment Plan Amendment, DDA and Schematic Designs in negotiation with OCII (Spring 2020 approvals)

Start of site permit review to be dicussed.",-,-,-,-,-,-,-
132,OCII,Mission Bay,"TB Block 1

160 Folsom",392,156,"ERECT 40 STORIES, 2 BASEMENTS, 390 UNITS RESIDENTIAL & RETAIL BUILDING.",Other Permit,201406259481,-,-,0 open addenda,In Construction - looking for sign off soon to avoid potential delays,-,"Current estimate for final TCOs:
Tower: April 2020
Podium: June 2020",-,"SIP: As of 2/6/20 Developer has addressed all DPW (BSM) comments.
DPW to respond.

NSR for Folsom path of travel:  Developer submitted on 2/10/20; CIty Attorney requested changes 2/11/20; Developer to respond .",-,-,-
133,OCII,Mission Bay,"TB Block 9

500 Folsom",537,108,"ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT WITH COMMERCIAL MIXED USE BUILDING.",Other Permit,201503110506,-,-,0 open addenda,In Construction - looking for sign off soon to avoid potential delays,-,Current estimate for final TCO's now May 2020  (Final TCO),-,"SIP:  Developer to submit: 
-Special Sidewalk and Minor Sidewalk Encroachment Permits
-Performance and Labor&Materials Bond
-Authorized Agent Form",-,-,-
134,OCII,Mission Bay,"OCII Blocks 52 & 54

Block 52: 351 Friedell St (4591C/215)

Block 54: 151 Friedell St (4591C/204)",112,111,"Blk 52: 100% AFFORDABLE HOUSING AT HUNTER'S POINT SHIP YARD, ERECT A FIVE STORIES 67 RESIDENTIAL UNITS TYPE 1 MAX USE BUILDING.

Blk 54: 100% AFFORDABLE HOUSING AT HUNTER'S POINT SHIP YARD, ERECT A FIVE STORIES 45 UNITS TYPE 1 CONSTRUCTION RESIDENTIAL BUILDING",Site Permit,"201910083919  
201910083908",2018-10-08T00:00:00.000,-,Site Permit review,Construction to start Summer 2020,-,"Pre-App Meeting held 8/22/19.    
Re-signing of Pre-App notes (by Jeff Ma) will be needed due to requested revisions by SFFD.  
Comments received from Jimmy Cheung 10/28, working to address but need signed Pre-App notes prior to re-submittal. Re-signed Pre-App notes received 11/21/19.
Re-check meeting scheduled for 12/18/19.

Approved 12/18/19.","Pre-App Meeting held 8/22/19.
Re-signing of Pre-App notes (by Jeff Ma) will be needed due to requested revisions by SFFD.  
Comments received from Jimmy Cheung 10/28, working to address, but need Kamal Andrawes to sign requested clarifications to the Pre-App notes, which were provided 11/6/19. Site Permit Assigned to Kamal Andrawes 10/28, review start 11/4/19

Re-signed Pre-App notes received 11/21/19.
Block 52 comments received 11/20/19
Block 54 comments received 11/25/19
Hoping for Re-check meeting 12/19 or 12/20.

Approved 12/18/19.",Site Permits Approved 12/4/19 per DBI tracking website,"Pre-App Meeting held 6/11/19; Notes sent 7/1/2019.
Preliminary stormwater control plans will likely be submitted the week of 11/18/19.
Prelim SWCP submitted 11/19/19.

PUC signed off on site permits on 1/28/2020

PUC responded to Developer on SWCP with some questions.  Developer to respond by 2/21/20",-,OCII to provide sign off by 02/26/2020
135,OCII,Transbay,"Lennar Block 52

11 Jerrold Ave

4591C/216",77,9,"MAYOR DIR# 17-02. TO ERECT 4 STORIES, NO BASEMENT, TYPE I-A & TYPE V-A, 77 UNITS RESIDENTIAL CONDOMINIUMS WITH MIXED USE BUILDING. (R-2,B,A-3,S-2) ** MAHER: YES, ROUTE TO DPH **",Site Permit,201910033486,2018-10-03T00:00:00.000,2019-03-03T00:00:00.000,Site Permit review,Construction start in Spring 2020 -Tied to State CalReuse Grant,-,"Assigned to Joe Ng 
Review Started  10/22/19, comments issued 11/18/19.

Developer to meet next Friday 2/21 to resolve outstanding DBI comments.","To SFFD on 11/19/19, comments issued on 12/23/19.

Developer’s architect is requesting recheck meeting with Kamal for the week of 2/18.  Developer has submitted responses to SFFD.",-,"Developer has responded to PUC’s form and fixture count, submeter info etc. to Bill Tom (PUC) waiting for a response from SFPUC.",n/a,
136,OCII,Transbay,"HPS1 Block 48 Bldg M

869 LaSalle Ave",40,6,"PHASE 2A, BUILDING# M. TO ERECT 4 STORIES, 1 BASEMENT, 40 UNITS RESIDENTIAL BUILDING.","Addenda #1:
Foundation and Structural",201602179819,2017-05-12T00:00:00.000,-,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
137,OCII,Transbay,"HPS1 Block 48 Bldg M

869 LaSalle Ave",-,-,"PHASE 2A, BUILDING# M. TO ERECT 4 STORIES, 1 BASEMENT, 40 UNITS RESIDENTIAL BUILDING.","Addenda #2:
Architectural & MEP",201602179819,2017-05-15T00:00:00.000,2018-02-15T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
138,OCII,Transbay,"HPS1 Block 48 Bldg J

897 LaSalle Ave",40,6,"PHASE 2A, BUILDING# J. TO ERECT 4 STORIES, 1 BASEMENT, Type VA over IA, 40 UNITS RESIDENTIAL BUILDING","Addenda #2:
Architectural & MEP",201602179818,2017-07-28T00:00:00.000,2018-04-28T00:00:00.000,-,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,-,Developer to go back to DBI plan checkers for a recheck in early/mid March 2020,-,
