Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_rxqg_mtj9,:@computed_region_jx4q_fizf,:@computed_region_uruc_drv6
201610271244,8,otc alterations permit,10/27/2016,0237,016,353,,Sacramento,St,,,3rd floor as build drawings for pa 2016-1018-0538 fire alarm system,complete,10/28/2016,10/27/2016,10/27/2016,10/28/2016,,,23,23,,Y,10/22/2017,1,1,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",144227763383,108,6,3,8,28860,4,10,1,2
201610311485,8,otc alterations permit,10/31/2016,0222,056,1150,,Sacramento,St,203,,"new kitchen cabinets, countertops, appliances, led lighting, new bathroom fixtures, finishes, led lighting, new hardwood flooring at living room & kitchen, new led light at living room. paint throughout, no structural work.",complete,07/31/2017,10/31/2016,10/31/2016,07/31/2017,,,7,7,,,10/26/2017,65000,65000,apartments,25,apartments,25,0,,2,constr type 2,2,constr type 2,,3,Nob Hill,94108,"(37.79298391791918, -122.41179753678603)",144263162989,16,6,3,21,28857,3,10,1,2
201610311530,8,otc alterations permit,10/31/2016,0638,057,2299,,Sacramento,St,1,,"bathroom: remove bathrtub: install new piping, new bathrum, tile surround & tile floor.",complete,01/11/2017,10/31/2016,10/31/2016,01/11/2017,,,6,6,,,10/26/2017,10000,10000,apartments,20,apartments,20,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.79001132384316, -122.43048010415926)",1442701236152,102,4,6,30,29490,13,1,6,11
201611021694,8,otc alterations permit,11/02/2016,0237,016,353,,Sacramento,St,,,"basement- replace (2) existing boilers, (2) existing hot water pumps, add (2) new primary hot water pumps, install (1) new combustion air supply fan & modify piping & flue. n/a ordinance #155-13",complete,05/23/2017,11/02/2016,12/07/2016,05/23/2017,,,23,23,,,11/22/2019,300000,300000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",144293463383,108,6,3,8,28860,4,10,1,2
201611021747,3,additions alterations or repairs,11/02/2016,0224,008,920,,Sacramento,St,0,,"repair all existing wood windows to remain; replace glazing with insulated glass, clean & re-surface existing roof membrane, new flashing, make water tight, repair damaged roof cornice trim, new flashing.",complete,09/06/2019,11/02/2016,03/06/2019,09/06/2019,,,4,4,,,02/18/2022,100000,118500,church,0,church,0,2,,3,constr type 3,3,constr type 3,,3,Chinatown,94108,"(37.793352619123866, -122.40840990973359)",1443012296933,16,6,3,6,28857,3,10,1,2
M736048,8,otc alterations permit,11/03/2016,0222,009,1100,,Sacramento,St,,,street space permit,issued,11/03/2016,11/03/2016,11/03/2016,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1443118233026,16,6,3,21,28857,3,10,1,2
201611042047,8,otc alterations permit,11/04/2016,0627A,114,2200,,Sacramento,St,1502,,"kitchen & (2) bath remodel, update electrical & plumbing as needed; no changes to wall locations.",complete,07/25/2017,11/04/2016,11/04/2016,07/25/2017,,,17,17,,,10/30/2017,45000,45000,apartments,127,apartments,127,0,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",144342376864,102,4,6,30,29490,13,1,6,11
201611042046,8,otc alterations permit,11/04/2016,0627A,091,2200,,Sacramento,St,1203,,"kitchen & bath remodel, update electrical & plumbing as needed; no change to wall locations.",complete,03/21/2018,11/04/2016,11/04/2016,03/21/2018,,,17,17,,,10/30/2017,45000,45000,apartments,126,apartments,126,0,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",144341676841,102,4,6,30,29490,13,1,6,11
M736907,8,otc alterations permit,11/07/2016,1014,009,3924,,Sacramento,St,,,street space permit,issued,11/07/2016,11/07/2016,11/07/2016,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78712427614041, -122.45747119048377)",144351387155,10,8,6,31,54,11,1,9,11
M737247,8,otc alterations permit,11/08/2016,1021,026,3325,,Sacramento,St,,,street space,issued,11/08/2016,11/08/2016,11/08/2016,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78791407709577, -122.44742744261468)",1443622376603,10,8,6,31,54,13,1,9,11
201611142579,8,otc alterations permit,11/14/2016,0240,014,615,,Sacramento,St,,,"alter (e) restaurants fire alarm system, add 10 strobe horns. ref pa 2016-08104719",complete,04/18/2017,11/14/2016,11/30/2016,04/18/2017,,,3,3,,Y,11/25/2017,1800,5486.94,food/beverage hndlng,0,office,0,2,,3,constr type 3,3,constr type 3,,3,Financial District/South Beach,94104,"(37.793547003559944, -122.40346479881745)",144417463406,108,6,3,8,28854,4,10,1,2
201611142582,8,otc alterations permit,11/14/2016,1014,073,3972,,Sacramento,St,,,replace front facade shingles with siding. horizontal shiplap. no change to exerior openings. no other work under this permit application. 800sf,complete,05/03/2017,11/14/2016,11/17/2016,05/03/2017,,,3,3,,,11/12/2017,10000,10000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.787001691787815, -122.45843475590638)",1444176491629,10,8,6,31,54,11,1,9,11
M738788,8,otc alterations permit,11/14/2016,0222A,103,1170,,Sacramento,St,,,street space permit,issued,11/14/2016,11/14/2016,11/14/2016,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",144427163082,16,6,3,21,28857,3,10,1,2
201611142647,8,otc alterations permit,11/14/2016,0635,023,2511,,Sacramento,St,,,soft story retrofit per sfbc chapter 34b engineering criteria 2012 iebc appendix a-4,issued,12/02/2016,11/14/2016,12/02/2016,,,,3,3,,,11/17/2019,20000,117000,apartments,11,apartments,11,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78946895770683, -122.43471040790376)",144428677150,102,4,6,30,29490,13,1,6,11
201611142665,8,otc alterations permit,11/14/2016,0222A,050,1170,,Sacramento,St,14,B,"new kitchen cabinets, appliances, countertops. new bathroom vanity, plumbing fixtures. new flooring, paint and high efficacy lighting throughout. no structural work.",cancelled,01/31/2017,11/14/2016,11/14/2016,,,,19,19,,,11/09/2017,95000,95000,apartments,72,apartments,72,0,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",144431763059,16,6,3,21,28857,3,10,1,2
M739087,8,otc alterations permit,11/15/2016,0641,010,1919,,Sacramento,St,,,street space,issued,11/15/2016,11/15/2016,11/15/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79068284214438, -122.42517918428756)",144437077383,102,4,6,30,28858,13,1,6,11
M739167,8,otc alterations permit,11/15/2016,1024,027,3049,,Sacramento,St,,,street space,issued,11/15/2016,11/15/2016,11/15/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78840663696275, -122.44305168027026)",1444417238845,102,8,6,30,29490,13,1,9,11
201611162863,8,otc alterations permit,11/16/2016,0642,023,1855,,Sacramento,St,0,A,mandatory soft story retrofit per sf ordinance per sfbc chapter 34b 2012 iebc a4.,complete,11/28/2018,11/16/2016,02/23/2017,11/28/2018,,,4,4,,,02/08/2020,10000,140000,apartments,13,apartments,13,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79091116737084, -122.42337437609369)",1444577399902,102,4,6,30,28858,13,1,6,11
201611162863,8,otc alterations permit,11/16/2016,0642,035,1855,,Sacramento,St,12,,mandatory soft story retrofit per sf ordinance per sfbc chapter 34b 2012 iebc a4.,complete,11/28/2018,11/16/2016,02/23/2017,11/28/2018,,,4,4,,,02/08/2020,10000,140000,apartments,13,apartments,13,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79091116737084, -122.42337437609369)",144457877416,102,4,6,30,28858,13,1,6,11
201611162902,8,otc alterations permit,11/16/2016,0644,019,1671,,Sacramento,St,,,replace bathroom tiles,complete,07/27/2017,11/16/2016,11/16/2016,07/27/2017,,,3,3,,,11/11/2017,5000,5000,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79131212334973, -122.42027087972755)",1444626273982,105,4,3,21,28858,13,10,6,2
201611183108,8,otc alterations permit,11/18/2016,0249,001,1501,,Sacramento,St,0,,"outdoor back staircase repair dry rot and supports, complaint 201633322; less than 50%; to comply with his nov 201633322 dated 11/9/2016",complete,12/05/2016,11/18/2016,11/18/2016,12/05/2016,,,4,4,,,11/13/2017,1500,1500,apartments,14,apartments,14,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79178609253648, -122.41783466161131)",1444914477682,16,6,3,21,28858,5,10,1,2
201611183138,8,otc alterations permit,11/18/2016,0644,023,1637,,Sacramento,St,,,"remodel e apts, unit 1 at 1st fl. units 14, 15 at 4th fl. demolish structural walls, new kitchen cabinets, plumbing fixtures, lighting, elec, no exterior work. fire alarm sep permit",issued,05/23/2017,11/18/2016,05/23/2017,,,,4,4,,,05/07/2020,180000,180000,apartments,16,apartments,16,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79136920601388, -122.41981801183812)",144495277505,105,4,3,21,28858,13,10,6,2
201611183139,8,otc alterations permit,11/18/2016,0240,014,615,,Sacramento,St,,,revision to 201608104719 - 2nd floor toilet layout add toilet on 3rd flr,complete,05/26/2017,11/18/2016,01/09/2017,05/26/2017,,,3,3,,,01/04/2018,1,25000,food/beverage hndlng,,office,,2,,3,constr type 3,3,constr type 3,,3,Financial District/South Beach,94104,"(37.793547003559944, -122.40346479881745)",144495463406,108,6,3,8,28854,4,10,1,2
201611213191,8,otc alterations permit,11/21/2016,0636,038,2451,,Sacramento,St,,,install new sprinkler system on ground floor and in trash chute from 1st flr to 12th flr at every other level.  maher na. underground and alarm by others.  ref ti 2015-0902-5917.,complete,10/17/2018,11/21/2016,11/21/2016,10/17/2018,,,11,11,,Y,11/16/2017,25000,42000,office,98,office,98,2,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.78966078022135, -122.43319509133869)",1445018495475,102,4,6,30,29490,13,1,6,11
M740867,8,otc alterations permit,11/21/2016,1003,017,2870,,Sacramento,St,0,,street space,issued,11/21/2016,11/21/2016,11/21/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78933228535549, -122.44013277954383)",1445148420465,102,4,6,30,29490,13,1,9,11
201611223319,8,otc alterations permit,11/22/2016,0227,016,672,,Sacramento,St,0,,"modification of sprinkler system to accommodate new partitioning 3rd floor only. ref pa 2009-0527-9178, total 7 sprinklers",issued,12/01/2016,11/22/2016,12/01/2016,,,,5,5,,Y,11/26/2017,3500,3500,1 family dwelling,1,1 family dwelling,1,2,,2,constr type 2,2,constr type 2,,3,Chinatown,94111,"(37.79377467410348, -122.40415698433729)",1445200296576,104,6,3,6,28860,3,10,1,2
201611223333,8,otc alterations permit,11/22/2016,0624,014,1940,,Sacramento,St,1,,"#1 upgrade elec installation throughout unit, lighting fixtures w led. din rm remove closets on western wall, rmv swinging door to kitchen, relocate atrium door to west wall.opening to kitchen, full bath:vanity cntr w sink,remove tuv, master clst into shwr.atrium clst into bedrm access,remove access",complete,06/14/2017,11/22/2016,11/22/2016,06/14/2017,,,6,6,,,11/17/2017,38000,65000,apartments,6,apartments,6,2,,4,constr type 4,4,constr type 4,,2,Pacific Heights,94109,"(37.79125499966278, -122.4249498053433)",1445229236019,102,4,6,30,28858,13,1,6,11
M741227,8,otc alterations permit,11/23/2016,0639,016,2135,,Sacramento,St,0,,street space,issued,11/23/2016,11/23/2016,11/23/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79030921199572, -122.42807409407504)",1445344407003,102,4,6,30,28858,13,1,6,11
M741647,8,otc alterations permit,11/28/2016,0631,020,2684,,Sacramento,St,,,street space,issued,11/28/2016,11/28/2016,11/28/2016,,,,,,,,,,0,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78968774114685, -122.43710220251172)",144552076978,102,4,6,30,29490,13,1,9,11
M741667,8,otc alterations permit,11/28/2016,0222A,103,1170,,Sacramento,St,,,street space,issued,11/28/2016,11/28/2016,11/28/2016,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",144555963082,16,6,3,21,28857,3,10,1,2
M742287,8,otc alterations permit,11/29/2016,0638,057,2299,,Sacramento,St,,,street space permit,issued,11/29/2016,11/29/2016,11/29/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.79001132384316, -122.43048010415926)",1445727458747,102,4,6,30,29490,13,1,6,11
M742569,8,otc alterations permit,11/30/2016,0644,019,1671,,Sacramento,St,,,street space w/mta,issued,11/30/2016,11/30/2016,11/30/2016,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79131212334973, -122.42027087972755)",1445848273982,105,4,3,21,28858,13,10,6,2
M743527,8,otc alterations permit,12/05/2016,0624,014,1940,,Sacramento,St,1,,street space,issued,12/05/2016,12/05/2016,12/05/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79125499966278, -122.4249498053433)",1446311236019,102,4,6,30,28858,13,1,6,11
201612054159,4,sign - erect,12/05/2016,1021,026,3325,,Sacramento,St,,,non electric double faced sign,issued,12/12/2016,12/05/2016,12/12/2016,,,,2,,,,12/07/2017,2500,2500,retail sales,0,,,2,,5,wood frame (5),,,,2,Presidio Heights,94118,"(37.78791407709577, -122.44742744261468)",1446341376603,10,8,6,31,54,13,1,9,11
201612054163,4,sign - erect,12/05/2016,1021,026,3325,,Sacramento,St,,,electric wall sign,issued,12/12/2016,12/05/2016,12/12/2016,,,,2,,,,12/07/2017,4000,4000,retail sales,0,,,2,,5,wood frame (5),,,,2,Presidio Heights,94118,"(37.78791407709577, -122.44742744261468)",1446348376603,10,8,6,31,54,13,1,9,11
201612074359,8,otc alterations permit,12/07/2016,0237,016,353,,Sacramento,St,,,"9th floor: t.i.  includes demo of nonstructural partitions and building. new nonstructural partitions. mep, life safety and sprinklers under seperate permit. bldg fully sprinklered. n/a for maher",complete,06/09/2017,12/07/2016,01/10/2017,06/09/2017,,,23,23,,,12/26/2019,550000,500000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",144662563383,108,6,3,8,28860,4,10,1,2
201612074362,8,otc alterations permit,12/07/2016,0237,016,353,,Sacramento,St,,,"22nd floor: t.i.  includes demo of nonstructural partitions and building. new nonstructural partitions. mep, life safety and sprinklers under seperate permit. bldg fully sprinklered. n/a for maher",complete,06/09/2017,12/07/2016,01/10/2017,06/09/2017,,,23,23,,,12/26/2019,650000,650000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",144662963383,108,6,3,8,28860,4,10,1,2
201612084525,8,otc alterations permit,12/08/2016,1007,012,3238,,Sacramento,St,,,"replace windows at front façade with aluminum-clad double-hung windows with ogee lugs, like for like retrofit installation, visable from street.",complete,01/03/2017,12/08/2016,12/08/2016,01/03/2017,,,3,3,,,12/03/2017,7000,7000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78855036391465, -122.44627523376137)",1446841434359,10,8,6,31,29490,13,1,9,11
201612094606,8,otc alterations permit,12/09/2016,0227,016,672,,Sacramento,St,,,modification of fire sprinkler system as built for pa 2016-1122-3319,complete,02/02/2017,12/09/2016,12/22/2016,02/02/2017,,,5,5,,Y,12/17/2017,1,1,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Chinatown,94111,"(37.79377467410348, -122.40415698433729)",144695763294,104,6,3,6,28860,3,10,1,2
201612094645,8,otc alterations permit,12/09/2016,0624,104,1970,,Sacramento,St,101,,"kitchne remodeling replace new cabinet, flooring countr tops electric led lights & outlets, plumbing kitchen sink, repalce windows, no walls moved removed added or infilled. all existing, layout to remail unchanged, not visible from the street",complete,02/08/2017,12/09/2016,12/09/2016,02/08/2017,,,3,3,,,12/04/2017,15000,18321,apartments,6,apartments,6,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79121319622538, -122.42528133484377)",145319576696,102,4,6,30,28858,13,1,6,11
201612134772,8,otc alterations permit,12/13/2016,0624,104,1970,,Sacramento,St,101,,soft storyto comply with sfbc chapter 34b. compliance method: iebc appendix a-4. install (n) moment frames & (n) shear walls.,complete,01/10/2018,12/13/2016,05/05/2017,01/10/2018,,,4,4,,,04/30/2018,35000,48000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79121319622538, -122.42528133484377)",144717276696,102,4,6,30,28858,13,1,6,11
201612134772,8,otc alterations permit,12/13/2016,0624,109,1970,,Sacramento,St,302,,soft storyto comply with sfbc chapter 34b. compliance method: iebc appendix a-4. install (n) moment frames & (n) shear walls.,complete,01/10/2018,12/13/2016,05/05/2017,01/10/2018,,,4,4,,,04/30/2018,35000,48000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79121319622538, -122.42528133484377)",144717476701,102,4,6,30,28858,13,1,6,11
201612134864,8,otc alterations permit,12/13/2016,0241,018,755,,Sacramento,St,,,replace tb ceiling panel. hanging the light box corner 2000 sq ft,complete,12/15/2016,12/13/2016,12/14/2016,12/15/2016,,,2,2,,,12/09/2017,1500,4000,school,0,school,0,0,,5,wood frame (5),5,wood frame (5),,3,Chinatown,94108,"(37.79319818416733, -122.4054530647453)",1447305385606,104,6,3,6,28857,3,10,1,2
201612144956,8,otc alterations permit,12/14/2016,0632,002A,2730,,Sacramento,St,,,"remodel unit 12 on the 4th fl. remodel existing kitchen, remodel exist bath, add 2nd bath, add washer dryer maher not req",complete,06/19/2017,12/14/2016,01/24/2017,06/19/2017,,,4,4,,,01/19/2018,42000,42000,apartments,13,apartments,13,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.7895808243718, -122.43786103136216)",144742177009,102,4,6,30,29490,13,1,9,11
201612155075,8,otc alterations permit,12/15/2016,0624,003B,1930,,Sacramento,St,0,,#10- remodel bathroom,complete,02/15/2017,12/15/2016,12/15/2016,02/15/2017,,,4,4,,,12/10/2017,12000,12000,apartments,18,apartments,18,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79127503897592, -122.42479087510985)",1447569399895,102,4,6,30,28858,13,1,6,11
201612205391,3,additions alterations or repairs,12/20/2016,1005,053,3014,,Sacramento,St,,,remodel ground floor. legalize dwelling on 1st floor per ordinance# 43-14.,approved,03/21/2018,12/20/2016,,,,,2,2,,,,15000,40000,1 family dwelling,1,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78896908993937, -122.44298622184363)",144797486839,102,8,6,30,29490,13,1,9,11
201612205391,3,additions alterations or repairs,12/20/2016,1005,053,3014,A,Sacramento,St,,,remodel ground floor. legalize dwelling on 1st floor per ordinance# 43-14.,complete,10/26/2018,12/20/2016,03/26/2018,10/26/2018,,,2,2,,,03/21/2019,15000,40000,1 family dwelling,1,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78896908997294, -122.44298622165863)",1501731511047,102,8,6,30,29490,13,1,9,11
201612215625,8,otc alterations permit,12/21/2016,0221,003C,1200,,Sacramento,St,0,,"spot repairs & refurbishment , painting & certification of 3 fire escapes,repair in kind per inspection report",filed,12/21/2016,12/21/2016,,,,,5,5,,,,24000,25000,apartments,23,apartments,23,0,,3,constr type 3,3,constr type 3,,3,Nob Hill,94108,"(37.792639334561265, -122.41294581979709)",1448272296448,16,6,3,21,28857,5,10,1,2
M749627,8,otc alterations permit,12/27/2016,1013,010,3848,,Sacramento,St,,,street space,issued,12/27/2016,12/27/2016,12/27/2016,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78729149865167, -122.4561588149581)",1448630238732,10,8,6,31,54,11,1,9,11
M750647,8,otc alterations permit,12/29/2016,0644,001,1601,,Sacramento,St,,,street space,issued,12/29/2016,12/29/2016,12/29/2016,,,,,,,,,,0,,,,,,,,,,,,3,Nob Hill,94109,"(37.791519963409485, -122.41948014890181)",144895877483,105,4,3,21,28858,13,10,6,2
M750487,8,otc alterations permit,12/29/2016,0249,023,1571,,Sacramento,St,,,street space,issued,12/29/2016,12/29/2016,12/29/2016,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79160220199418, -122.4186649193402)",1448892233227,16,6,3,21,28858,5,10,1,2
M751128,8,otc alterations permit,12/30/2016,1023,029,3173,,Sacramento,St,,,street space,issued,12/30/2016,12/30/2016,12/30/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78815120079336, -122.44500528456767)",1449166281066,102,8,6,30,29490,13,1,9,11
201612306271,8,otc alterations permit,12/30/2016,1025,033,2965,,Sacramento,St,,,"apt 105: remodel 1 kitchen, new subpanel & ckts. remodel 1 bathroom; replace flooring.",complete,03/08/2017,12/30/2016,12/30/2016,03/08/2017,,,3,3,,,12/25/2017,20000,30000,apartments,15,apartments,15,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.788582506415906, -122.44166953920005)",1449073238861,102,8,6,30,29490,13,1,9,11
M750907,8,otc alterations permit,12/30/2016,0639,016,2135,,Sacramento,St,,,street space,issued,12/30/2016,12/30/2016,12/30/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79030921199572, -122.42807409407504)",1449085236165,102,4,6,30,28858,13,1,6,11
M750987,8,otc alterations permit,12/30/2016,0632,002A,2730,,Sacramento,St,,,street space,issued,12/30/2016,12/30/2016,12/30/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.7895808243718, -122.43786103136216)",1449129236064,102,4,6,30,29490,13,1,9,11
M751128,8,otc alterations permit,12/30/2016,1023,029,3169,,Sacramento,St,,,street space,issued,12/30/2016,12/30/2016,12/30/2016,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78815120079336, -122.44500528456767)",144916587409,102,8,6,30,29490,13,1,9,11
201701046480,8,otc alterations permit,01/04/2017,0638,065,2299,,Sacramento,St,9,,replace in  kind bathroom on level threee of 5 at apartment #9'  n/a maher,complete,04/05/2017,01/04/2017,01/04/2017,04/05/2017,,,5,5,,,12/30/2017,13000,13000,apartments,20,apartments,20,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.79001132384316, -122.43048010415926)",144932877271,102,4,6,30,29490,13,1,6,11
201701066649,7,wall or painted sign,01/06/2017,0231,023,2,,Embarcadero Center,,,,space #r-2109 - (2) non-structural door/window signs (facing sacramento street). n/a maher ordinance,issued,01/20/2017,01/06/2017,01/20/2017,,,,,,,,01/15/2018,375,375,,,,,2,,,,,,,3,Financial District/South Beach,94111,"(37.79479859387513, -122.39847275186533)",144957463348,108,6,3,8,28860,3,10,1,2
M753129,8,otc alterations permit,01/09/2017,0624,014,1940,,Sacramento,St,1,,street space,issued,01/09/2017,01/09/2017,01/09/2017,,,,,,,,,,0,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79125499966278, -122.4249498053433)",1449744236019,102,4,6,30,28858,13,1,6,11
M753107,8,otc alterations permit,01/09/2017,0644,019,1671,,Sacramento,St,,,street space and mta permits,issued,01/09/2017,01/09/2017,01/09/2017,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79131212334973, -122.42027087972755)",1449712273982,105,4,3,21,28858,13,10,6,2
201701096750,8,otc alterations permit,01/09/2017,0641,009,1921,,Sacramento,St,,,reroofing,complete,02/17/2017,01/09/2017,01/09/2017,02/17/2017,,,3,3,,,01/04/2018,43251,43251,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.79066663031798, -122.42530733740458)",144974877382,102,4,6,30,28858,13,1,6,11
201701096767,8,otc alterations permit,01/09/2017,0634,029,2635,,Sacramento,St,,,"facade update: new siding, garage door, front door, and new windows in kind (aluminum clad) n/a for maher",complete,04/19/2018,01/09/2017,01/31/2017,04/19/2018,,,4,4,,,01/26/2018,10000,30000,apartments,7,apartments,7,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78929431078025, -122.43622424580212)",1449769236107,102,4,6,30,29490,13,1,9,11
M753248,8,otc alterations permit,01/09/2017,0222A,103,1170,,Sacramento,St,,,street space,issued,01/09/2017,01/09/2017,01/09/2017,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",144978463082,16,6,3,21,28857,3,10,1,2
201701106872,8,otc alterations permit,01/10/2017,1003,017,2870,,Sacramento,St,0,,"fire sprinkler - in order to install the steel beam in garage, 2"" fire sprinkler main isin the way , will cut the 2"" about 3'-0"" & after the beam installed, will reroute the 2"" main around the beam  & resume the fire sprinkler system service. n/a maher ordinance",complete,03/07/2017,01/10/2017,01/10/2017,03/07/2017,,,3,3,,Y,01/05/2018,500,500,apartments,5,apartments,5,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78933228535549, -122.44013277954383)",1449901420465,102,4,6,30,29490,13,1,9,11
M753711,8,otc alterations permit,01/11/2017,0636,038,2451,,Sacramento,St,,,street space & mta parking meter,issued,01/11/2017,01/11/2017,01/11/2017,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78966078022135, -122.43319509133869)",1449998495475,102,4,6,30,29490,13,1,6,11
201701116955,8,otc alterations permit,01/11/2017,0222A,006,1170,,Sacramento,St,3,B,"new kitchen cabinets, appliances, countertops; new bathroom vanities, finishes, plumbing fixtures; new hardwood floors, paint and high efficacy lighting throughout, no structural work; n/a maher ord. 155-13",complete,05/02/2018,01/11/2017,01/11/2017,05/02/2018,,,19,19,,,01/06/2018,95000,95000,apartments,72,apartments,72,0,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",145001663015,16,6,3,21,28857,3,10,1,2
201701116977,8,otc alterations permit,01/11/2017,0634,029,2635,,Sacramento,St,,,soft story seismic retrofit per 2012 iebc appendix a-4. n/a ordinance #155-13,complete,10/25/2017,01/11/2017,01/31/2017,10/25/2017,,,4,4,,,01/26/2018,80000,95000,apartments,7,apartments,7,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78929431078025, -122.43622424580212)",1450048236107,102,4,6,30,29490,13,1,9,11
