RECORD_ID,RECORD_TYPE,RECORD_STATUS,CLASS,BLOCK,LOT,MAPBLOCKLOT,PARENT_ID,CHILD_ID,OPEN_DATE,CLOSE_DATE,PROJECT_NAME,PROJECT_ADDRESS,SUPERVISOR_DISTRICT,RELATED_BUILDING_PERMIT,NUMBER_OF_UNITS,NUMBER_OF_MARKET_RATE_UNITS,NUMBER_OF_AFFORDABLE_UNITS,DATE_APPLICATION_SUBMITTED,DATE_ENTITLEMENTS_APPROVED,DATE_PPA_SUBMITTED,DATE_APPLICATION_ACCEPTED,DATE_OF_FINAL_HEARING,DEVELOPER_NAME,DEVELOPER_ORG,ASSIGNED_TO_PLANNER,PLANNER_FIRST_NAME,PLANNER_LAST_NAME,PLANNER_EMAIL,PLANNER_PHONE,DESCRIPTION,DATE_PPA_LETTER_ISSUED,DATE_NIA_ISSUED,DATE_PLAN_CHECK_LETTER_ISSUED,DATE_PROJECT_DESC_STABLE,DATE_OF_FIRST_HEARING,CHANGE_OF_USE,ADDITIONS,NEW_CONSTRUCTION,LEG_ZONE_CHANGE,DEMOLITION,LOT_LINE_ADJUST,FACADE_ALT,ROW_IMPROVE,OTHER_PRJ_DESC,FORMULA_RETAIL,CANNABIS,MEDICAL_CANNABIS_DISPENSARY,MASSAGE,TOBACCO,FINANCIAL,OTHER_NON_RES,OTHER_NON_RES_DESC,SPECIAL_NEEDS,SENIOR,AFFORDABLE_UNITS,STUDENT,INCLUSIONARY,ADU,LEGALIZATION,CHANGE_OF_DWELLING_UNITS,SB35,AB2162,HOUSING_SUSTAINABILITY_DIST,RENTAL_UNITS,OWNERSHIP_UNITS,UNKOWN_UNITS,SB330,PRELIMINARY_HOUSING_APP_DATE,HOMESF,STATE_DENSITY_BONUS_ANALYZED,STATE_DENSITY_BONUS_INDIVIDUAL,BASE_DENSITY,BONUS_DENSITY,INCLUSIONARY_PERCENT,REAR_YARD,EXPOSURE,OFF_STREET_LOADING,PARKING,OPEN_SPACE,HEIGHT_LIMIT,OTHER_MODIFICATION,OTHER_MODIFICATION_DESC,AHBP_100_PERCENT_AFFORDABLE,ENVIRONMENTAL_REVIEW_TYPE,RESIDENTIAL_EXIST,PARKING_SPACES_EXIST,CAR_SHARE_SPACES_EXIST,PARKING_GSF_EXIST,RETAIL_COMMERCIAL_EXIST,OFFICE_EXIST,INDUSTRIAL_PDR_EXIST,MEDICAL_EXIST,VISITOR_EXIST,CIE_EXIST,RESIDENTIAL_PROP,PARKING_SPACES_PROP,CAR_SHARE_SPACES_PROP,PARKING_GSF_PROP,RETAIL_COMMERCIAL_PROP,OFFICE_PROP,INDUSTRIAL_PDR_PROP,MEDICAL_PROP,VISITOR_PROP,CIE_PROP,RESIDENTIAL_STUDIO_EXIST,RESIDENTIAL_1BR_EXIST,RESIDENTIAL_2BR_EXIST,RESIDENTIAL_3BR_EXIST,RESIDENTIAL_ADU_STUDIO_EXIST,RESIDENTIAL_ADU_1BR_EXIST,RESIDENTIAL_ADU_2BR_EXIST,RESIDENTIAL_ADU_3BR_EXIST,RESIDENTIAL_GH_ROOMS_EXIST,RESIDENTIAL_GH_BEDS_EXIST,RESIDENTIAL_SRO_EXIST,RESIDENTIAL_MICRO_EXIST,RESIDENTIAL_STUDIO_PROP,RESIDENTIAL_1BR_PROP,RESIDENTIAL_2BR_PROP,RESIDENTIAL_3BR_PROP,RESIDENTIAL_ADU_STUDIO_PROP,RESIDENTIAL_ADU_1BR_PROP,RESIDENTIAL_ADU_2BR_PROP,RESIDENTIAL_ADU_3BR_PROP,RESIDENTIAL_GH_ROOMS_PROP,RESIDENTIAL_GH_BEDS_PROP,RESIDENTIAL_SRO_PROP,RESIDENTIAL_MICRO_PROP
2015-011205PRJ,PRJ,Closed,COMPLETE,3733,161,3733161,,2015-011205ENV,2015-08-31 00:00:00,2015-11-24 00:00:00,320 & 330 Clementina Street,320 CLEMENTINA ST 94103,6,201510301361,276,0,276,2015-08-31 00:00:00,,,2015-09-02 00:00:00,,"Duncan, Chris",Gelfand Patners Architects,Kate Conner,Kate,Conner,kate.conner@sfgov.org,415-575-6914,"The proposed project includes alterations to the two existing 13-story apartment towers. Alterations include new structural strengthening, including new spread footing and drilled pier foundations.  

New construction includes provision of new maintenance shed (416 sf) and new trash compactor enclosure (374 sf) along with associated concrete paving and shallow footings.",,,,,,,CHECKED,,,,,,,CHECKED,,,,,,,CHECKED,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168506,,,,,,,,,,168506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-013410GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2015-10-06 00:00:00,2018-06-26 00:00:00,429 Beale Street,429 BEALE ST 94105,6,,0,0,0,,,,,,"Ince, Dane",,Christine Silva,Christine,Silva,christine.lamorena@sfgov.org,415-575-9085,"2014-002033env,2014-002033prj,2014-002033ppa - request to view files",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058CND,CND,Closed - Approved,COMPLETE,0546,001,0546001,2015-014058PRJ,,2018-11-08 00:00:00,2019-01-03 00:00:00,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"Drake, Jay F.","Reuben, Junius & Rose, LLP",Katherine Wilborn,Katherine,Wilborn,katherine.wilborn@sfgov.org,415-575-9114,E-Condo for 41 Residential and 2 Commercial Mixed Use Units New Condominium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058CUA,CUA,Closed - Approved,COMPLETE,0546,001,0546001,2015-014058PRJ,,2016-10-05 00:00:00,2018-04-10 00:00:00,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"MacDonald, Mark",DM Development,Mary Cheung-Woods,Mary,Cheung-Woods,mary.woods@sfgov.org,415-558-6315,"Conditional Use Authorization to permit the demolition and new construction of a 7-story, 41 unit multi-family residential structure over retail with parking garage and bicycle parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058ENV,ENV,Closed - CEQA Clearance Issued,COMPLETE,0546,001,0546001,2015-014058PRJ,2015-014058EEC,2016-01-04 00:00:00,2017-11-07 00:00:00,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"Braver, Jaqui","DM Development Partners, LLC",Jennifer McKellar,Jennifer,McKellar,Jennifer.McKellar@sfgov.org,415-575-8754,"Demolish gas station and construct a new seven-story building containing 41 residences, approximately 3,000 sf of ground-floor retail, and 31 below-grade vehicle parking spaces.",,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058PPA,PPA,Closed - Informational,COMPLETE,0546,001,0546001,2015-014058PRJ,,2015-10-20 00:00:00,2016-02-22 00:00:00,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"Braver, Jaqui","DM Development Partners, LLC",Mary Cheung-Woods,Mary,Cheung-Woods,mary.woods@sfgov.org,415-558-6315,"Construction of a new 7 story 41 unit multi-family residential structure over retail and parking garage for both vehicles and bikes.



The PPA was submitted on 10/09/15 and the 90 day deadline is 01/07/16.",,,,,,CHECKED,,CHECKED,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,60335,,,7719,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058PRJ,PRJ,Closed,COMPLETE,0546,001,0546001,,"2015-014058CND, 2015-014058CUA, 2015-014058ENV, 2015-014058PPA, 2015-014058TDM, 2015-014058VAR",2016-01-04 00:00:00,2019-11-21 00:00:00,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,201612285989,41,41,0,2016-06-24 00:00:00,2018-04-10 00:00:00,2015-10-20 00:00:00,2016-06-24 00:00:00,2018-06-13 00:00:00,"MacDonald, Mark",DM Development,Mary Cheung-Woods,Mary,Cheung-Woods,mary.woods@sfgov.org,415-558-6315,"Construction of a new 7 story 41 unit multi-family residential structure over retail and parking garage for both vehicles and bikes.



The PPA was submitted on 10/09/15 and the 90 day deadline is 01/07/16.",,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,CHECKED,CHECKED,,,,,,,,,0,0,0,0,0,,,,,,71844,31,3,15102,2914,,,,,,,0,0,0,,,,,,,,,,10,24,7,,,,,,,,
2015-014058TDM,TDM,Approved,COMPLETE,0546,001,0546001,2015-014058PRJ,,2017-09-27 00:00:00,,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"Braver, Jaqui","DM Development Partners, LLC",Audrey Harris,Audrey,Harris,audrey.harris@sfgov.org,415-575-9136,"Demolition of an existing fuel canopy and retail structure at the site of a decommissioned gas station. New construction of a 7-story mixed-use building containing 41 dwelling units, approximately 2,800 square feet of commercial/retail space, 31 off-street vehicle parking spaces, three (3) car-share parking spaces, 41 Class 1 bicycle parking spaces and four (4) Class 2 bicycle parking spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-014058VAR,VAR,Under Review,COMPLETE,0546,001,0546001,2015-014058PRJ,,2017-11-02 00:00:00,,2465 VAN NESS AVE,2465 VAN NESS AVE 94123,2,,0,0,0,,,,,,"MacDonald, Mark","DM Development Partners, LLC",Mary Cheung-Woods,Mary,Cheung-Woods,mary.woods@sfgov.org,415-558-6315,"Variances from the rear yard and dwelling unit exposure requirement to permit the construction of a  7-story, 41 unit multi-family residential structure over retail and parking garage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-015758GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2015-11-25 00:00:00,2015-12-01 00:00:00,429 Beale / 430 Main,429 BEALE ST 94105,6,,0,0,0,,,,,,"Ince, Dane",,Josephine Chen,Josephine,Chen,josephine.chen@sfgov.org,415-575-9199,Record Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-018331MIS,MIS,Closed - Approved,COMPLETE,,,,,,2015-12-28 00:00:00,2016-01-20 00:00:00,"8 10th Street - CH Parking, LLC",8 10TH ST 94103,,,0,0,0,,,,,,"Speron, Roman","CH Parking, LLC",Carly Grob,Carly,Grob,carly.grob@sfgov.org,415-575-9138,Police Referral - Commercial Parking Garage Renewal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-018514GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2015-10-06 00:00:00,2015-10-07 00:00:00,429 Beale / 430 Main,429 BEALE ST 94105,6,,0,0,0,,,,,,"Ince, Dane",,Josephine Chen,Josephine,Chen,josephine.chen@sfgov.org,415-575-9199,Record Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514CUA,CUA,Closed - Informational,COMPLETE,3554,005,3554005,2016-001514PRJ,,2016-09-07 00:00:00,2018-06-19 00:00:00,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Kimberly Durandet,Kimberly,Durandet,kimberly.durandet@sfgov.org,415-575-6816,"Approved Priority Processing for 100% Affordable Housing project: Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514ENV,ENV,Closed - CEQA Clearance Issued,COMPLETE,3554,005,3554005,2016-001514PRJ,"2016-001514ETM, 2016-001514ETR",2016-02-24 00:00:00,2018-01-24 00:00:00,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Christopher Thomas,Christopher,Thomas,Christopher.Thomas@sfgov.org,415-575-9036,"Demolish 11 modular wood framed buildings at 1950 Mission Street

Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.  

See attached ""Project Concept Description"" for more detail



The PPA was submitted on 1/27/16 and the 90 day deadline is 4/26/16.",,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514ETM,Environmental T and M-ETM,Closed - CEQA Clearance Issued,COMPLETE,3554,005,3554005,2016-001514ENV,,2016-02-25 00:00:00,2018-01-28 01:01:00,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Virnaliza Byrd,Virnaliza,Byrd,virnaliza.byrd@sfgov.org,415-575-9025,"Demolish 11 modular wood framed buildings at 1950 Mission Street

Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.  

See attached ""Project Concept Description"" for more detail



The PPA was submitted on 1/27/16 and the 90 day deadline is 4/26/16.",,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514ETR,Transportation Study-ETR,Closed - CEQA Clearance Issued,COMPLETE,3554,005,3554005,2016-001514ENV,,2016-06-23 00:00:00,2018-01-28 01:01:04,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Virnaliza Byrd,Virnaliza,Byrd,virnaliza.byrd@sfgov.org,415-575-9025,"Demolish 11 modular wood framed buildings at 1950 Mission Street

Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.  

See attached ""Project Concept Description"" for more detail



The PPA was submitted on 1/27/16 and the 90 day deadline is 4/26/16.",,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514GPR,GPR,Closed - Approved,COMPLETE,3554,005,3554005,2016-001514PPA,,2017-01-24 00:00:00,2018-06-27 00:00:00,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Updike, John",San Francisco Real Estate Division,Paul Chasan,Paul,Chasan,paul.chasan@sfgov.org,415-575-9065,The project will be the development of 157 units of 100% affordable housing to low income families. The option to ground lease to the developer (BRIDGE) will allow for the development team to apply for outside funding sources since the document will provide site control to the non-profit developer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514MCM,MCM,Monitoring Compliance,COMPLETE,3554,005,3554005,2016-001514PRJ,,2018-06-07 00:00:00,,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Elizabeth Purl,Elizabeth,Purl,elizabeth.purl@sfgov.org,415-575-9028,"Approved Priority Processing for 100% Affordable Housing project: Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514PPA,PPA,Closed - Informational,COMPLETE,3554,005,3554005,2016-001514PRJ,2016-001514GPR,2016-01-27 00:00:00,2016-05-03 00:00:00,1950 MISSION ST,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Gaylord, Ali",BRIDGE Housing,Kimberly Durandet,Kimberly,Durandet,kimberly.durandet@sfgov.org,415-575-6816,"Demolish 11 modular wood framed buildings at 1950 Mission Street

Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.  

See attached ""Project Concept Description"" for more detail



The PPA was submitted on 1/27/16 and the 90 day deadline is 4/26/16.",,,,,,CHECKED,,CHECKED,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,12000,140394,,,,3415,13236,,,,1654,,,,,,,,,,,,,,,,,,,,,,,,
2016-001514PRJ,PRJ,Closed,COMPLETE,3554,005,3554005,,"2016-001514CUA, 2016-001514ENV, 2016-001514MCM, 2016-001514PPA",2016-02-24 00:00:00,2018-09-14 00:00:00,1950 MISSION ST,1950 MISSION ST 94103,9,"201609218371, 201805240004, 201805240005, 201805240006, 201805240007, 201805240008, 201805240009, 201805240010, 201805240011, 201805240012, 201805240013, 201805240014, 201805249998",157,0,157,2016-02-26 00:00:00,,2016-01-27 00:00:00,2016-02-26 00:00:00,,"Gaylord, Ali",BRIDGE Housing,Kimberly Durandet,Kimberly,Durandet,kimberly.durandet@sfgov.org,415-575-6816,"Approved Priority Processing for 100% Affordable Housing project: Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.",,,,,,CHECKED,,CHECKED,,CHECKED,,,,,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,143320,,,,11357,2368,,,,,0,0,0,0,,,,,,,,,32,36,73,16,,,,,,,,
2016-002196GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2016-01-12 00:00:00,2016-02-10 00:00:00,429 Beale / 430 Main - 2007.1121,429 BEALE ST 94105,6,,0,0,0,,,,,,"Li, Michael",,Josephine Chen,Josephine,Chen,josephine.chen@sfgov.org,415-575-9199,Record Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-002313GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2016-02-08 00:00:00,2016-02-12 00:00:00,429 Beale / 430 Main - 2014-002033ENV/DNX,429 BEALE ST 94105,6,,0,0,0,,,,,,"Ince, Dane",,Josephine Chen,Josephine,Chen,josephine.chen@sfgov.org,415-575-9199,Record Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-008581PRJ,PRJ,Closed,COMPLETE,1934,029,1934029,,,2016-06-30 00:00:00,2017-03-27 00:00:00,1658 10TH AVE,1658 10TH AVE 94122,7,201606109695,3,3,0,,,,,,"REVOC, HERBERT M W & JUNE F O WONG REVOC",,Cathleen Campbell,Cathleen,Campbell,cathleen.campbell@sfgov.org,415-575-8732,LEGALIZE (E) ILLEGAL UNIT IN (E) 2 UNIT BUILDING. LEGALIZE (E) KITCHEN UNDER ORD #43-14.,,,,,,CHECKED,,,,,,,,CHECKED,,,,,,,CHECKED,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,4503,4,,,,,,,,,4503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-010699ENF,ENF,Closed - Abated,COMPLETE,1764,038,1764038,,,2016-08-18 00:00:00,2016-09-28 00:00:00,1316/1318 10th Avenue Illegal Short-Term Rentals by Owners,1316 10TH AVE 94122,5,,0,0,0,,,,,,,,Adrian Putra,Adrian,Putra,adrian.putra@sfgov.org,415-575-9079,"Illegal short-term rentals on Airbnb by Owners. Certificate issued, then revoked by OSTR staff (September 2018).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-011207ZAV,ZAV,Closed - Issued,COMPLETE,0636,038,0636038,,,2016-08-30 00:00:00,2016-09-01 00:00:00,2451 Sacramento Street - ZAV Request,2451 SACRAMENTO ST 94115,2,,0,0,0,,,,,,"Perdomo, Evelyn",Mercy Housing California,Eugenio Salcedo,Eugenio,Salcedo,Eugenio.Salcedo@sfgov.org,415-575-9139,Request for Zoning Verification Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-012485ENF,ENF,Closed - No Violation,COMPLETE,3507,041,3507041,,,2016-09-27 00:00:00,2017-04-13 00:00:00,8 10th Street Unit 3506,8 10TH ST 94103,6,,0,0,0,,,,,,,,Adrian Putra,Adrian,Putra,adrian.putra@sfgov.org,415-575-9079,illegal short-term rentals on Airbnb or VRBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-015522ENF,ENF,Closed - No Violation,COMPLETE,3507,041,3507041,,,2016-12-05 00:00:00,2016-12-06 00:00:00,8 - 10th street #3506,8 10TH ST 94103,6,,0,0,0,,,,,,,,Dario Jones,Dario,Jones,dario.jones@sfgov.org,415-558-6477,running an illegal business with 5 to 6 employees in the daytime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-015839PRV,PRV,Closed - Informational,COMPLETE,0636,037,0636037,,,2016-12-12 00:00:00,2017-01-11 00:00:00,2451 Sacramento Street,2451 Sacramento ST 94115,2,,0,0,0,,,,,,"Paris, Dan",,Christopher May,Christopher,May,christopher.may@sfgov.org,415-575-9087,"Sacramento Street (0636/037); Project Review meeting to discuss a new, 4-story, 7-unit residential building with basement parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-000155MIS,MIS,Closed - Approved,COMPLETE,3507,041,3507041,,,2017-01-04 00:00:00,2017-01-09 00:00:00,8 10TH ST,8 10TH ST 94103,6,,0,0,0,,,,,,"Speron, Roman","CH Parking, LLC",Andrew Perry,Andrew,Perry,andrew.perry@sfgov.org,415-575-9017,Police - Commercial Parking Garage Renewal: Recommend Approval - Public Parking Garage permitted in the C-3-G District as a conditional use per P.C. Sec. 210.2 and CPC Motion No. 17415. Continuation of existing use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-001417GPR,GPR,Closed - Withdrawn,COMPLETE,3554,005,3554005,,,2017-02-02 00:00:00,2017-02-09 00:00:00,1950 Mission Street,1950 MISSION ST 94103,9,,0,0,0,,,,,,"Updike, John",SF Real Estate,Ilaria Salvadori,Ilaria,Salvadori,ilaria.salvadori@sfgov.org,415-575-9086,The project will be the development of 157 units of 100% affordable housing to low income families. The option to ground lease to the developer (BRIDGE) will allow for the development team to apply for outside funding sources since the document will provide site control to the non-profit developer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-004109MIS,MIS,Closed - Disapproved,COMPLETE,1652,014,1652014,,,2017-04-04 00:00:00,2017-05-15 00:00:00,798 10th Avenue - Crown Castle ROW WTS Facility,798 10TH AVE 94118,1,,0,0,0,,,,,,"Castle, Crown",,Stephanie Skangos,Stephanie,Skangos,Stephanie.Skangos@sfgov.org,415-575-8731,Crown Castle ROW WTS Facility: Installation and operation of wireless equipment and antennas for Crown Castle on Existing PG&E Wood Utility Pole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-006823PRJ,PRJ,Closed,COMPLETE,6921,001,6921001,,,2017-06-01 00:00:00,2017-10-05 00:00:00,101 URBANO DR,101 URBANO DR 94127,7,201705237369,2,2,0,,,,,,"Chan, Ken",,Sylvia Jimenez,Sylvia,Jimenez,sylvia.jimenez@sfgov.org,415-575-9187,"COMPLY W/ COMPLAINT #201776386, UNIT LEGALIZATION ORD 43-14, LEGALIZATION OF DWELLING UNIT INSTALL WITHOUT PERMIT,. LEGALIZE EISTING KITCHE, BEDRMS & TWO BATHRM. ALL WORK AT GROUND FLOOR.",,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-006969PRL,PRL,Closed,COMPLETE,1652,033,1652033,,,2017-06-05 00:00:00,2017-06-05 00:00:00,708 10TH AVE,708 10TH AVE 94118,1,201706058373,0,0,0,,,,,,", JOAN P SPAARGAREN 1998 TRUST",,Eiliesh Tuffy,Eiliesh,Tuffy,eiliesh.tuffy@sfgov.org,415-575-9191,"Interior work only; Legalize lower level family room, bedroom, bathroom; New connecting stair to upper floor; Meets Rooms Down development requirement for Planning",,,,,,,,,,,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
